name,mode,affinity_kcal_mol,dist_lb,dist_ub
gen_mol1011,4.0,-5.564,11.3,12.81
gen_mol1011,5.0,-5.414,5.055,8.465
gen_mol1011,6.0,-5.375,3.713,5.771
gen_mol1011,7.0,-5.36,3.842,5.909
gen_mol1011,8.0,-5.28,2.626,3.663
gen_mol1011,9.0,-5.114,11.47,15.23
gen_mol1012,1.0,-6.239,0.0,0.0
gen_mol1012,2.0,-6.221,0.1344,2.325
gen_mol1012,3.0,-6.088,2.639,8.311
gen_mol1012,4.0,-5.986,2.696,8.141
gen_mol1012,5.0,-5.965,2.887,8.129
gen_mol1012,6.0,-5.886,2.94,8.049
gen_mol1012,7.0,-5.638,5.422,9.97
gen_mol1012,8.0,-5.409,5.901,8.855
gen_mol1012,9.0,-5.176,3.087,8.304
gen_mol1013,1.0,-5.796,0.0,0.0
gen_mol1013,2.0,-5.562,6.178,10.93
gen_mol1013,3.0,-5.47,5.967,10.74
gen_mol1013,4.0,-5.442,1.81,4.143
gen_mol1013,5.0,-5.27,5.043,9.08
gen_mol1013,6.0,-5.261,3.063,7.061
gen_mol1013,7.0,-5.258,5.935,9.919
gen_mol1013,8.0,-5.221,2.395,4.277
gen_mol1013,9.0,-5.2,1.902,6.668
gen_mol1014,1.0,-6.336,0.0,0.0
gen_mol1014,2.0,-6.131,11.54,14.35
gen_mol1014,3.0,-5.75,11.34,14.96
gen_mol1014,4.0,-5.683,11.58,14.33
gen_mol1014,5.0,-5.677,10.84,14.33
gen_mol1014,6.0,-5.432,10.82,12.6
gen_mol1014,7.0,-5.431,10.0,13.55
gen_mol1014,8.0,-5.351,11.52,14.16
gen_mol1014,9.0,-5.288,11.32,14.89
gen_mol1015,1.0,-5.7,0.0,0.0
gen_mol1015,2.0,-5.387,3.579,6.554
gen_mol1015,3.0,-5.339,3.363,6.668
gen_mol1015,4.0,-5.314,1.12,2.027
gen_mol1015,5.0,-5.309,0.9049,1.765
gen_mol1015,6.0,-5.195,2.374,3.393
gen_mol1015,7.0,-5.13,2.683,6.762
gen_mol1015,8.0,-5.016,2.206,6.621
gen_mol1015,9.0,-4.865,2.7,7.108
gen_mol1016,1.0,-6.31,0.0,0.0
gen_mol1016,2.0,-6.243,0.6321,1.677
gen_mol1016,3.0,-6.063,4.165,8.07
gen_mol1016,4.0,-6.027,4.954,8.007
gen_mol1016,5.0,-6.004,4.821,6.901
gen_mol1016,6.0,-5.757,3.116,4.833
gen_mol1016,7.0,-5.73,1.721,2.319
gen_mol1016,8.0,-5.702,4.188,6.952
gen_mol1016,9.0,-5.634,1.65,2.123
gen_mol1017,1.0,-6.28,0.0,0.0
gen_mol1017,2.0,-6.094,3.32,7.672
gen_mol1017,3.0,-5.994,1.811,2.574
gen_mol1017,4.0,-5.826,3.735,6.352
gen_mol1017,5.0,-5.8,4.189,6.194
gen_mol1017,6.0,-5.775,1.732,2.486
gen_mol1017,7.0,-5.736,4.561,7.303
gen_mol1017,8.0,-5.731,2.422,3.114
gen_mol1017,9.0,-5.704,1.966,2.85
gen_mol1018,1.0,-5.874,0.0,0.0
gen_mol1018,2.0,-5.769,1.875,2.8
gen_mol1018,3.0,-5.762,5.044,8.22
gen_mol1018,4.0,-5.761,5.9,8.862
gen_mol1018,5.0,-5.701,5.622,8.695
gen_mol1018,6.0,-5.627,2.823,4.316
gen_mol1018,7.0,-5.602,5.312,8.164
gen_mol1018,8.0,-5.574,2.219,6.736
gen_mol1018,9.0,-5.423,6.052,9.124
gen_mol1019,1.0,-5.937,0.0,0.0
gen_mol1019,2.0,-5.609,5.901,8.912
gen_mol1019,3.0,-5.571,4.869,8.875
gen_mol1019,4.0,-5.557,5.922,9.084
gen_mol1019,5.0,-5.526,3.992,7.986
gen_mol1019,6.0,-5.32,3.148,5.344
gen_mol1019,7.0,-5.307,2.043,2.758
gen_mol1019,8.0,-5.261,1.743,2.483
gen_mol1019,9.0,-5.22,4.585,7.029
gen_mol101,1.0,-6.265,0.0,0.0
gen_mol101,2.0,-6.251,5.598,8.913
gen_mol101,3.0,-6.151,5.617,8.889
gen_mol101,4.0,-6.018,3.398,6.893
gen_mol101,5.0,-6.012,12.92,14.7
gen_mol101,6.0,-5.986,3.035,5.135
gen_mol101,7.0,-5.829,4.023,7.349
gen_mol101,8.0,-5.756,5.714,7.278
gen_mol101,9.0,-5.641,4.876,8.374
gen_mol1020,1.0,-5.714,0.0,0.0
gen_mol1020,2.0,-5.45,2.471,7.339
gen_mol1020,3.0,-5.374,4.733,8.674
gen_mol1020,4.0,-5.373,1.704,4.024
gen_mol1020,5.0,-5.316,1.591,2.453
gen_mol1020,6.0,-5.256,2.144,6.818
gen_mol1020,7.0,-5.244,1.95,6.09
gen_mol1020,8.0,-5.106,2.067,6.47
gen_mol1020,9.0,-5.024,5.003,7.919
gen_mol1021,1.0,-7.197,0.0,0.0
gen_mol1021,2.0,-6.636,1.837,8.463
gen_mol1021,3.0,-6.419,5.016,9.437
gen_mol1021,4.0,-6.355,13.08,15.06
gen_mol1021,5.0,-6.136,2.497,8.662
gen_mol1021,6.0,-6.129,2.517,3.399
gen_mol1021,7.0,-5.992,3.557,5.723
gen_mol1021,8.0,-5.886,1.579,2.006
gen_mol1021,9.0,-5.824,2.547,8.705
gen_mol1022,1.0,-5.822,0.0,0.0
gen_mol1022,2.0,-5.505,1.9,4.789
gen_mol1022,3.0,-5.468,2.731,5.902
gen_mol1022,4.0,-5.315,4.255,6.226
gen_mol1022,5.0,-5.123,4.326,6.734
gen_mol1022,6.0,-5.095,4.236,7.28
gen_mol1022,7.0,-4.779,2.932,5.838
gen_mol1022,8.0,-4.755,3.329,6.104
gen_mol1022,9.0,-4.624,3.919,5.817
gen_mol1023,1.0,-6.414,0.0,0.0
gen_mol1023,2.0,-6.184,0.8719,1.145
gen_mol1023,3.0,-5.875,1.066,1.836
gen_mol1023,4.0,-5.729,2.709,8.56
gen_mol1023,5.0,-5.609,3.41,8.99
gen_mol1023,6.0,-5.528,2.145,7.982
gen_mol1023,7.0,-5.458,2.911,8.235
gen_mol1023,8.0,-5.277,3.291,5.544
gen_mol1023,9.0,-5.218,11.67,14.72
gen_mol1024,1.0,-6.466,0.0,0.0
gen_mol1024,2.0,-6.334,1.181,1.841
gen_mol1024,3.0,-6.333,5.095,9.115
gen_mol1024,4.0,-6.142,3.682,8.704
gen_mol1024,5.0,-6.083,3.001,4.768
gen_mol1024,6.0,-6.061,4.095,8.491
gen_mol1024,7.0,-6.017,4.508,6.289
gen_mol1024,8.0,-5.908,4.016,8.713
gen_mol1024,9.0,-5.826,4.185,8.963
gen_mol1025,1.0,-5.987,0.0,0.0
gen_mol1025,2.0,-5.827,2.3,7.868
gen_mol1025,3.0,-5.788,0.7114,3.044
gen_mol1025,4.0,-5.691,2.076,8.16
gen_mol1025,5.0,-5.679,3.679,7.59
gen_mol1025,6.0,-5.62,2.061,8.17
gen_mol1025,7.0,-5.514,2.015,7.904
gen_mol1025,8.0,-5.431,3.535,8.61
gen_mol1025,9.0,-5.395,1.703,2.273
gen_mol1026,1.0,-6.146,0.0,0.0
gen_mol1026,2.0,-6.113,3.276,5.397
gen_mol1026,3.0,-6.004,3.328,9.057
gen_mol1026,4.0,-5.88,3.212,6.119
gen_mol1026,5.0,-5.821,3.347,7.108
gen_mol1026,6.0,-5.804,5.787,8.627
gen_mol1026,7.0,-5.798,4.831,11.24
gen_mol1026,8.0,-5.779,6.805,9.28
gen_mol1026,9.0,-5.567,14.36,17.9
gen_mol1027,1.0,-6.8,0.0,0.0
gen_mol1027,2.0,-6.536,4.416,10.46
gen_mol1027,3.0,-6.507,2.126,7.673
gen_mol1027,4.0,-6.42,4.498,6.219
gen_mol1027,5.0,-6.418,3.987,8.517
gen_mol1027,6.0,-6.316,5.753,8.019
gen_mol1027,7.0,-6.315,2.24,3.611
gen_mol1027,8.0,-6.312,2.249,4.49
gen_mol1027,9.0,-6.198,2.34,7.215
gen_mol1028,1.0,-6.7,0.0,0.0
gen_mol1028,2.0,-6.297,1.238,1.671
gen_mol1028,3.0,-6.151,2.796,7.556
gen_mol1028,4.0,-5.777,1.653,2.535
gen_mol1028,5.0,-5.514,3.742,5.188
gen_mol1028,6.0,-5.485,3.999,9.121
gen_mol1028,7.0,-5.447,1.571,2.047
gen_mol1028,8.0,-5.42,1.381,4.511
gen_mol1028,9.0,-5.372,10.09,12.07
gen_mol1029,1.0,-6.814,0.0,0.0
gen_mol1029,2.0,-6.607,1.371,2.196
gen_mol1029,3.0,-6.594,5.896,8.544
gen_mol1029,4.0,-6.593,1.75,7.164
gen_mol1029,5.0,-6.547,1.535,2.301
gen_mol1029,6.0,-6.417,1.402,7.147
gen_mol1029,7.0,-6.408,3.39,5.285
gen_mol1029,8.0,-6.386,1.93,3.238
gen_mol1029,9.0,-6.209,6.788,12.14
gen_mol102,1.0,-6.189,0.0,0.0
gen_mol102,2.0,-6.042,1.229,2.409
gen_mol102,3.0,-6.005,1.851,2.094
gen_mol102,4.0,-5.931,2.303,7.876
gen_mol102,5.0,-5.762,2.184,3.003
gen_mol102,6.0,-5.723,2.019,7.727
gen_mol102,7.0,-5.704,3.668,8.65
gen_mol102,8.0,-5.653,3.317,4.291
gen_mol102,9.0,-5.618,3.65,8.559
gen_mol1030,1.0,-6.597,0.0,0.0
gen_mol1030,2.0,-6.365,2.296,8.118
gen_mol1030,3.0,-6.22,1.301,1.736
gen_mol1030,4.0,-6.073,1.741,2.205
gen_mol1030,5.0,-6.059,4.203,8.856
gen_mol1030,6.0,-6.055,4.7,10.93
gen_mol1030,7.0,-6.04,4.305,9.436
gen_mol1030,8.0,-5.945,3.757,5.376
gen_mol1030,9.0,-5.749,1.952,8.27
gen_mol1031,1.0,-5.981,0.0,0.0
gen_mol1031,2.0,-5.864,4.569,7.329
gen_mol1031,3.0,-5.831,4.627,7.866
gen_mol1031,4.0,-5.826,6.179,8.652
gen_mol1031,5.0,-5.823,3.467,7.045
gen_mol1031,6.0,-5.705,5.109,6.941
gen_mol1031,7.0,-5.697,5.003,8.556
gen_mol1031,8.0,-5.689,6.229,8.501
gen_mol1031,9.0,-5.647,2.591,4.398
gen_mol1032,1.0,-5.492,0.0,0.0
gen_mol1032,2.0,-5.432,2.727,4.516
gen_mol1032,3.0,-5.294,6.685,9.058
gen_mol1032,4.0,-5.266,5.269,10.12
gen_mol1032,5.0,-5.194,2.812,6.867
gen_mol1032,6.0,-5.156,2.564,4.953
gen_mol1032,7.0,-5.044,1.712,2.528
gen_mol1033,1.0,-5.805,0.0,0.0
gen_mol1033,2.0,-5.797,1.117,1.914
gen_mol1033,3.0,-5.751,2.263,3.005
gen_mol1033,4.0,-5.556,3.149,8.092
gen_mol1033,5.0,-5.555,4.302,8.789
gen_mol1033,6.0,-5.51,2.462,7.958
gen_mol1033,7.0,-5.469,14.11,16.99
gen_mol1033,8.0,-5.41,2.17,8.174
gen_mol1033,9.0,-5.371,2.289,4.019
gen_mol1034,1.0,-6.802,0.0,0.0
gen_mol1034,2.0,-6.756,0.2464,2.538
gen_mol1034,3.0,-6.669,1.346,1.63
gen_mol1034,4.0,-6.666,1.367,2.973
gen_mol1034,5.0,-6.659,2.432,8.533
gen_mol1034,6.0,-6.63,2.44,8.769
gen_mol1034,7.0,-6.47,2.387,9.124
gen_mol1034,8.0,-6.174,1.573,8.734
gen_mol1034,9.0,-6.047,1.386,3.157
gen_mol1035,1.0,-5.512,0.0,0.0
gen_mol1035,2.0,-5.453,3.907,6.219
gen_mol1035,3.0,-5.44,1.531,1.78
gen_mol1035,4.0,-5.437,4.888,7.249
gen_mol1035,5.0,-5.361,4.258,6.589
gen_mol1035,6.0,-5.359,6.174,8.902
gen_mol1035,7.0,-5.356,1.839,6.63
gen_mol1035,8.0,-5.254,2.242,3.549
gen_mol1035,9.0,-4.998,2.299,3.858
gen_mol1036,1.0,-6.784,0.0,0.0
gen_mol1036,2.0,-6.774,0.9908,1.076
gen_mol1036,3.0,-6.451,1.472,2.053
gen_mol1036,4.0,-6.224,5.406,9.624
gen_mol1036,5.0,-6.21,2.345,3.795
gen_mol1036,6.0,-6.185,2.328,4.535
gen_mol1036,7.0,-6.154,2.984,6.774
gen_mol1036,8.0,-6.068,2.112,5.741
gen_mol1036,9.0,-6.042,4.715,7.162
gen_mol1037,1.0,-6.359,0.0,0.0
gen_mol1037,2.0,-6.024,2.75,6.048
gen_mol1037,3.0,-6.006,4.083,6.842
gen_mol1037,4.0,-6.006,3.236,5.357
gen_mol1037,5.0,-5.959,2.842,6.214
gen_mol1037,6.0,-5.827,4.408,6.691
gen_mol1037,7.0,-5.821,3.133,6.979
gen_mol1037,8.0,-5.543,3.828,6.056
gen_mol1037,9.0,-5.313,2.689,5.594
gen_mol1038,1.0,-5.669,0.0,0.0
gen_mol1038,2.0,-5.112,2.672,5.997
gen_mol1038,3.0,-4.861,4.091,7.381
gen_mol1038,4.0,-4.828,3.896,5.631
gen_mol1038,5.0,-4.819,2.345,6.413
gen_mol1038,6.0,-4.736,2.361,4.053
gen_mol1038,7.0,-4.727,5.087,6.962
gen_mol1038,8.0,-4.693,3.549,6.064
gen_mol1038,9.0,-4.582,4.861,7.59
gen_mol1039,1.0,-5.676,0.0,0.0
gen_mol1039,2.0,-5.416,2.704,7.167
gen_mol1039,3.0,-5.33,2.18,7.289
gen_mol1039,4.0,-5.314,1.917,6.753
gen_mol1039,5.0,-5.256,3.608,7.852
gen_mol1039,6.0,-5.148,4.312,7.687
gen_mol1039,7.0,-5.119,1.999,3.919
gen_mol1039,8.0,-5.118,5.649,7.747
gen_mol1039,9.0,-5.112,5.36,9.924
gen_mol103,1.0,-6.049,0.0,0.0
gen_mol103,2.0,-5.979,5.475,8.877
gen_mol103,3.0,-5.916,1.945,6.289
gen_mol103,4.0,-5.815,4.764,7.997
gen_mol103,5.0,-5.635,2.431,4.029
gen_mol103,6.0,-5.632,1.505,2.119
gen_mol103,7.0,-5.442,3.362,5.038
gen_mol103,8.0,-5.437,7.435,10.42
gen_mol103,9.0,-5.373,3.917,6.749
gen_mol1040,1.0,-6.91,0.0,0.0
